array,random_access,1,1828.00
array,random_access,2,584.90
array,random_access,3,283.70
array,random_access,4,270.90
array,random_access,5,271.00
arraylist,random_access,1,18468.00
arraylist,random_access,2,4390.00
arraylist,random_access,3,2910.70
arraylist,random_access,4,1056.00
arraylist,random_access,5,985.60
array,append,1,2166.00
array,append,2,1229.80
array,append,3,953.20
array,append,4,945.60
array,append,5,1001.30
arraylist,append,1,11280.80
arraylist,append,2,40603.90
arraylist,append,3,6884.00
arraylist,append,4,2115.20
arraylist,append,5,36370.80
array,insert,1,3212.00
array,insert,2,1881.70
array,insert,3,1873.90
array,insert,4,1794.00
array,insert,5,1390.90
arraylist,insert,1,2582819.40
arraylist,insert,2,3715754.40
arraylist,insert,3,6534638.80
arraylist,insert,4,9387192.60
arraylist,insert,5,11236109.30
array,remove,1,2391.10
array,remove,2,784.70
array,remove,3,717.10
array,remove,4,664.50
array,remove,5,614.80
arraylist,remove,1,1351453.60
arraylist,remove,2,409601.30
arraylist,remove,3,119970.60
arraylist,remove,4,45882.00
arraylist,remove,5,21316.90
